Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
EW,Edwards Lifesciences Corporation,51061944320.0,51.260117,,,702899968.0,0.136,Healthcare,Medical Devices,USD
COR,"Cencora, Inc.",61677801472.0,24.291954,0.77,1.0713401,15092111360.0,0.038,Healthcare,Medical Distribution,USD
KDP,Keurig Dr Pepper Inc.,41830404096.0,22.774075,2.96,0.06312,28891000832.0,0.094,Consumer Defensive,Beverages - Non-Alcoholic,USD
FIS,"Fidelity National Information Services, Inc.",22091415552.0,8.282947,3.93,0.17225,21145999360.0,0.301,Technology,Information Technology Services,USD
KMB,Kimberly-Clark Corporation,37134168064.0,22.065088,4.68,1.11727,7105999872.0,0.027,Consumer Defensive,Household & Personal Products,USD
NEM,Newmont Corporation,110216208384.0,13.190416,1.11,0.25905,5598000128.0,0.151,Basic Materials,Gold,USD
DFS,N/A,,,,,,,N/A,N/A,USD
PCG,PG&E Corporation,38089936896.0,12.442446,1.15,0.09318,64703000576.0,0.001,Utilities,Utilities - Regulated Electric,USD
TEL,TE Connectivity plc,63236063232.0,21.36141,1.45,0.23290001,5817999872.0,0.138,Technology,Electronic Components,USD
MPC,Marathon Petroleum Corporation,88312291328.0,20.522728,1.28,,,0.545,Energy,Oil & Gas Refining & Marketing,USD
FAST,Fastenal Company,57351929856.0,42.71795,1.93,0.34334,441500000.0,0.147,Industrials,Industrial Distribution,USD
AME,"AMETEK, Inc.",58657632256.0,38.31138,0.54,0.14562,2036173952.0,0.15,Industrials,Specialty Industrial Machinery,USD
PEG,Public Service Enterprise Group Incorporated,37603332096.0,18.771145,3.51,,,-0.089,Utilities,Utilities - Regulated Electric,USD
PRU,"Prudential Financial, Inc.",41220546560.0,10.769509,4.53,0.10711,55523999744.0,0.153,Financial Services,Insurance - Life,USD
KVUE,Kenvue Inc.,37468966912.0,23.232143,4.3,0.15701,8801999872.0,0.045,Consumer Defensive,Household & Personal Products,USD
STZ,"Constellation Brands, Inc.",22297653248.0,12.432857,3.16,0.2369,10533799936.0,-0.033,Consumer Defensive,Beverages - Brewers,USD
GLW,Corning Incorporated,136759779328.0,73.31336,0.81,0.16813,9379000320.0,0.166,Technology,Electronic Components,USD
LHX,"L3Harris Technologies, Inc.",53164273664.0,28.838385,1.75,,7926000128.0,1.9,Industrials,Aerospace & Defense,USD
GRMN,Garmin Ltd.,58596462592.0,31.38791,1.37,0.21886998,226856992.0,0.114,Technology,Scientific & Technical Instruments,USD
BKR,Baker Hughes Company,61133832192.0,19.675718,1.52,0.16463,16252999680.0,-0.024,Energy,Oil & Gas Equipment & Services,USD
CBRE,"CBRE Group, Inc.",43465252864.0,34.347828,,0.15798001,10805999616.0,0.155,Real Estate,Real Estate Services,USD
CTVA,"Corteva, Inc.",53735968768.0,48.812122,0.91,0.04256,4874999808.0,-0.012,Basic Materials,Agricultural Inputs,USD
HES,N/A,,,,,,,N/A,N/A,USD
CCI,Crown Castle Inc.,31787378688.0,29.689795,5.47,,23403999232.0,-0.049,Real Estate,REIT - Specialty,USD
DAL,"Delta Air Lines, Inc.",61645582336.0,15.545605,0.89,0.20125,21084000256.0,0.187,Industrials,Airlines,USD
CTSH,Cognizant Technology Solutions Corporation,26473809920.0,12.036559,2.38,0.14924,2094000000.0,0.045,Technology,Information Technology Services,USD
F,Ford Motor Company,56774987776.0,,4.09,-0.18252,163296002048.0,-0.038,Consumer Cyclical,Auto Manufacturers,USD
VRSK,"Verisk Analytics, Inc.",24658966528.0,28.865797,1.04,,4617099776.0,0.044,Industrials,Consulting Services,USD
EA,Electronic Arts Inc.,52925640704.0,59.743587,0.36,0.16458,1871000064.0,0.189,Communication Services,Electronic Gaming & Multimedia,USD
ODFL,"Old Dominion Freight Line, Inc.",44540567552.0,41.18654,0.53,0.24818,19997000.0,0.104,Industrials,Trucking,USD
XEL,Xcel Energy Inc.,48406036480.0,21.231506,3.03,0.0992,41650999296.0,-0.051,Utilities,Utilities - Regulated Electric,USD
TRGP,Targa Resources Corp.,55923322880.0,27.196243,1.85,0.74097997,19131799552.0,-0.102,Energy,Oil & Gas Midstream,USD
A,"Agilent Technologies, Inc.",39677452288.0,28.209839,0.73,0.21330999,3542000128.0,0.1,Healthcare,Diagnostics & Research,USD
IT,"Gartner, Inc.",11695190016.0,16.639711,,0.94878,3355174912.0,-0.015,Technology,Information Technology Services,USD
LVS,Las Vegas Sands Corp.,29897885696.0,17.891474,2.45,1.22869,15283999744.0,-0.007,Consumer Cyclical,Resorts & Casinos,USD
SYY,Sysco Corporation,40568455168.0,23.604456,2.66,0.77692,14967000064.0,0.047,Consumer Defensive,Food Distribution,USD
VLO,Valero Energy Corporation,87698382848.0,12.696332,1.53,0.27637,11349000192.0,0.517,Energy,Oil & Gas Refining & Marketing,USD
OTIS,Otis Worldwide Corporation,27813607424.0,18.782776,2.45,,8846000128.0,0.073,Industrials,Specialty Industrial Machinery,USD
LEN,Lennar Corporation,21133731840.0,13.292425,2.43,0.07368,6245007872.0,-0.052,Consumer Cyclical,Residential Construction,USD
EXC,Exelon Corporation,46881705984.0,16.72978,3.66,0.09711,52672999424.0,0.099,Utilities,Utilities - Regulated Electric,USD
IR,Ingersoll Rand Inc.,34931589120.0,37.202477,0.09,0.0947,4906699776.0,0.085,Industrials,Specialty Industrial Machinery,USD
YUM,"Yum! Brands, Inc.",41448222720.0,19.097485,1.96,,12275000320.0,0.123,Consumer Cyclical,Restaurants,USD
KHC,The Kraft Heinz Company,30432985088.0,,6.19,-0.12576,21133000704.0,0.008,Consumer Defensive,Packaged Foods,USD
GEHC,GE HealthCare Technologies Inc.,31744624640.0,16.079493,0.2,0.19376,10540999680.0,0.058,Healthcare,Medical Devices,USD
IQV,IQVIA Holdings Inc.,38943539200.0,29.463886,,0.22818,16254999552.0,0.087,Healthcare,Diagnostics & Research,USD
GIS,"General Mills, Inc.",19026704384.0,,6.83,-0.01028,0.0,0.022,Consumer Defensive,Packaged Foods,USD
CCL,Carnival Corporation Ltd.,40671731712.0,13.376126,1.62,0.26689,26169999360.0,0.053,Consumer Cyclical,Travel Services,USD
RMD,ResMed Inc.,32412848128.0,21.526974,1.08,0.25246,843169024.0,0.108,Healthcare,Medical Instruments & Supplies,USD
VMC,Vulcan Materials Company,37199462400.0,32.040176,0.77,0.13234,4942099968.0,0.025,Basic Materials,Building Materials,USD
HSY,The Hershey Company,35868246016.0,24.387295,3.32,0.32808998,5923312128.0,0.066,Consumer Defensive,Confectioners,USD
ACGL,Arch Capital Group Ltd.,33685686272.0,7.729656,,0.19936001,4286000128.0,-0.105,Financial Services,Insurance - Diversified,USD
IDXX,"IDEXX Laboratories, Inc.",45976170496.0,42.234783,,0.72915,1105451008.0,0.143,Healthcare,Diagnostics & Research,USD
WAB,Westinghouse Air Brake Technologies Corporation,50113314816.0,39.9845,0.41,0.11553001,6936000000.0,0.175,Industrials,Railroads,USD
ROK,"Rockwell Automation, Inc.",50506145792.0,42.45932,1.24,0.30629,3526000128.0,0.079,Industrials,Specialty Industrial Machinery,USD
MLM,"Martin Marietta Materials, Inc.",33331134464.0,35.143127,0.63,0.08894,6344999936.0,0.21,Basic Materials,Building Materials,USD
EXR,Extra Space Storage Inc.,32950890496.0,32.958057,4.38,0.06953,14414687232.0,0.038,Real Estate,REIT - Industrial,USD
DD,"DuPont de Nemours, Inc.",19910635520.0,63.2897,1.75,0.00896,3216999936.0,0.043,Basic Materials,Specialty Chemicals,USD
ETR,Entergy Corporation,50120888320.0,27.470589,2.35,0.10248999,34627321856.0,0.059,Utilities,Utilities - Regulated Electric,USD
DECK,Deckers Outdoor Corporation,13535114240.0,13.765928,,0.42558,472334016.0,0.057,Consumer Cyclical,Footwear & Accessories,USD
EFX,Equifax Inc.,20545171456.0,30.733744,1.3,0.14275,5467100160.0,0.106,Industrials,Consulting Services,USD
UAL,"United Airlines Holdings, Inc.",43109355520.0,12.43633,,0.23252001,33667999744.0,0.16,Industrials,Airlines,USD
WTW,Willis Towers Watson Public Limited Company,31482656768.0,20.96413,1.13,0.19761999,7101000192.0,0.091,Financial Services,Insurance Brokers,USD
TTWO,"Take-Two Interactive Software, Inc.",44162912256.0,,,-0.105579995,2958299904.0,0.061,Communication Services,Electronic Gaming & Multimedia,USD
HIG,"The Hartford Insurance Group, Inc.",39126691840.0,9.789437,1.69,0.22061001,4384000000.0,0.081,Financial Services,Insurance - Diversified,USD
RJF,"Raymond James Financial, Inc.",34694217728.0,15.759598,1.21,,6112999936.0,0.152,Financial Services,Asset Management,USD
AVB,"AvalonBay Communities, Inc.",26949548032.0,25.888205,3.76,0.08487,9187223552.0,0.023,Real Estate,REIT - Residential,USD
MTB,M&T Bank Corporation,36455718912.0,13.322829,2.37,0.10742,18182000640.0,0.062,Financial Services,Banks - Regional,USD
DXCM,"DexCom, Inc.",31068112896.0,32.541504,,0.38491002,1398400000.0,0.131,Healthcare,Medical Devices,USD
ED,"Consolidated Edison, Inc.",39657480192.0,18.30102,3.23,0.08732,27177000960.0,0.062,Utilities,Utilities - Regulated Electric,USD
EBAY,eBay Inc.,48085200896.0,25.011549,1.13,0.42875,7206000128.0,0.195,Consumer Cyclical,Internet Retail,USD
HPQ,HP Inc.,26438850560.0,10.707407,4.16,,10864000000.0,0.09,Technology,Computer Hardware,USD
IRM,Iron Mountain Incorporated,37502984192.0,135.53764,2.83,,19716626432.0,0.216,Real Estate,REIT - Specialty,USD
EIX,Edison International,26363607040.0,7.070176,4.78,0.19734,43540000768.0,-0.041,Utilities,Utilities - Regulated Electric,USD
LYV,"Live Nation Entertainment, Inc.",42717782016.0,,,0.17677,11282711552.0,0.094,Communication Services,Entertainment,USD
VICI,VICI Properties Inc.,28925306880.0,10.182171,6.83,0.09849,17843673088.0,0.057,Real Estate,REIT - Diversified,USD
CNC,Centene Corporation,33440991232.0,,,-0.20358999,16104999936.0,0.046,Healthcare,Healthcare Plans,USD
WEC,"WEC Energy Group, Inc.",35217801216.0,20.986408,3.49,0.11988,22979700736.0,0.026,Utilities,Utilities - Regulated Electric,USD
MCHP,Microchip Technology Incorporated,42740191232.0,357.77274,2.45,0.03405,5642200064.0,0.351,Technology,Semiconductors,USD
HUM,Humana Inc.,43975811072.0,33.598167,0.97,0.06893,14744000512.0,0.262,Healthcare,Healthcare Plans,USD
ANSS,N/A,,,,,,,N/A,N/A,USD
BRO,"Brown & Brown, Inc.",23730567168.0,22.658146,0.94,0.10023,8065999872.0,0.324,Financial Services,Insurance Brokers,USD
CSGP,"CoStar Group, Inc.",12241018880.0,159.0,,0.00894,1155000064.0,0.184,Real Estate,Real Estate Services,USD
MPWR,"Monolithic Power Systems, Inc.",66243203072.0,82.11479,0.56,0.21979,0.0,0.476,Technology,Semiconductors,USD
GDDY,GoDaddy Inc.,11527473152.0,13.524516,,4.42861,3841400064.0,0.066,Technology,Software - Infrastructure,USD
TSCO,Tractor Supply Company,17385504768.0,17.265627,2.9,0.39513,6544977920.0,0.023,Consumer Cyclical,Specialty Retail,USD
STT,State Street Corporation,51700244480.0,16.596561,2.0,0.12437,,-0.028,Financial Services,Asset Management,USD
CAH,"Cardinal Health, Inc.",55879176192.0,36.48165,0.89,,8915999744.0,0.11,Healthcare,Medical Distribution,USD
GPN,Global Payments Inc.,24234588160.0,31.75448,1.19,0.02935,23587248128.0,0.631,Industrials,Specialty Business Services,USD
FITB,Fifth Third Bancorp,52458848256.0,19.483166,2.77,0.08447,22268999680.0,0.518,Financial Services,Banks - Regional,USD
XYL,Xylem Inc.,28423518208.0,28.984526,1.47,0.09182999,3055000064.0,0.015,Industrials,Specialty Industrial Machinery,USD
HPE,Hewlett Packard Enterprise Company,71891009536.0,48.473213,1.19,0.06315,21304000512.0,0.4,Technology,Communication Equipment,USD
KEYS,"Keysight Technologies, Inc.",57901912064.0,54.55958,,0.18174,2763000064.0,0.315,Technology,Scientific & Technical Instruments,USD
DOW,Dow Inc.,21561870336.0,,4.62,-0.0554,19435999232.0,0.197,Basic Materials,Chemicals,USD
EQR,Equity Residential,26070720512.0,29.336956,4.23,0.080240004,8565499904.0,0.021,Real Estate,REIT - Residential,USD
ON,ON Semiconductor Corporation,18502172672.0,58.100746,,0.08312,4482699776.0,0.092,Technology,Semiconductors,USD
PPG,"PPG Industries, Inc.",26392567808.0,16.512518,2.68,0.19297001,7468000256.0,0.072,Basic Materials,Specialty Chemicals,USD
K,N/A,,,,,,,N/A,N/A,USD
SW,Smurfit Westrock Plc,25468209152.0,50.578125,3.94,0.02715,14163999744.0,0.011,Consumer Cyclical,Packaging & Containers,USD
NUE,Nucor Corporation,62546776064.0,21.591196,0.87,0.14548999,7098999808.0,0.23,Basic Materials,Steel,USD
EL,The Estée Lauder Companies Inc.,31664289792.0,,1.61,-0.05949,9299999744.0,0.046,Consumer Defensive,Household & Personal Products,USD
BR,"Broadridge Financial Solutions, Inc.",18932107264.0,17.05104,2.59,0.40916002,3254599936.0,0.075,Technology,Information Technology Services,USD
WBD,"Warner Bros. Discovery, Inc.",64909770752.0,,,-0.049590003,32465999872.0,-0.01,Communication Services,Entertainment,USD
TPL,Texas Pacific Land Corporation,26664824832.0,52.59728,0.59,0.36466,17987000.0,0.208,Energy,Oil & Gas E&P,USD
CHD,"Church & Dwight Co., Inc.",24469956608.0,33.064106,1.19,0.17041,2428300032.0,0.016,Consumer Defensive,Household & Personal Products,USD
MTD,Mettler-Toledo International Inc.,28462835712.0,31.994257,,,2137394944.0,0.045,Healthcare,Diagnostics & Research,USD
DOV,Dover Corporation,28477460480.0,25.444645,1.02,0.14914,3259987968.0,0.069,Industrials,Specialty Industrial Machinery,USD
TYL,"Tyler Technologies, Inc.",12547366912.0,40.261497,,0.09731,1455030016.0,0.082,Technology,Software - Application,USD
FTV,Fortive Corporation,18742855680.0,32.529102,0.4,0.07318,3598099968.0,0.079,Technology,Scientific & Technical Instruments,USD
TROW,"T. Rowe Price Group, Inc.",24615581696.0,11.585843,4.49,0.19399999,450600000.0,0.107,Financial Services,Asset Management,USD
VLTO,Veralto Corporation,23491926016.0,24.09,0.55,0.34312,3592999936.0,0.075,Industrials,Pollution & Treatment Controls,USD
EQT,EQT Corporation,32117121024.0,11.912993,1.25,0.11078,5655713792.0,-0.039,Energy,Oil & Gas E&P,USD
SYF,Synchrony Financial,25788893184.0,8.129231,1.72,0.20786,16432000000.0,0.006,Financial Services,Credit Services,USD
NVR,"NVR, Inc.",17098588160.0,16.590796,,0.31544,1050702016.0,-0.109,Consumer Cyclical,Residential Construction,USD
DTE,DTE Energy Company,29002274816.0,22.053005,3.28,0.1103,27840000000.0,-0.015,Utilities,Utilities - Regulated Electric,USD
VTR,"Ventas, Inc.",47329558528.0,167.76363,2.14,0.02012,12918999040.0,0.217,Real Estate,REIT - Healthcare Facilities,USD
AWK,"American Water Works Company, Inc.",26431950848.0,23.011246,2.67,0.10095,16067999744.0,0.062,Utilities,Utilities - Regulated Water,USD
ADM,Archer-Daniels-Midland Company,38021550080.0,21.554644,2.6,0.07642,8010999808.0,0.072,Consumer Defensive,Farm Products,USD
NTAP,"NetApp, Inc.",37274746880.0,30.008675,1.09,1.06734,2732999936.0,0.125,Technology,Software - Infrastructure,USD
WST,"West Pharmaceutical Services, Inc.",24665999360.0,43.976162,0.25,0.19087,316500000.0,0.138,Healthcare,Medical Instruments & Supplies,USD
CPAY,"Corpay, Inc.",25682006016.0,23.54224,,0.32124,10483340288.0,0.254,Technology,Software - Infrastructure,USD
PPL,PPL Corporation,26230695936.0,21.389572,3.24,0.08316,20292999168.0,0.108,Utilities,Utilities - Regulated Electric,USD
LYB,LyondellBasell Industries N.V.,19356434432.0,,6.64,-0.02269,14330000384.0,0.198,Basic Materials,Specialty Chemicals,USD
AEE,Ameren Corporation,30115010560.0,19.185184,2.74,0.11943,21808001024.0,-0.062,Utilities,Utilities - Regulated Electric,USD
EXPE,"Expedia Group, Inc.",38230032384.0,28.113415,0.56,0.71494,4710000128.0,0.147,Consumer Cyclical,Travel Services,USD
HBAN,Huntington Bancshares Incorporated,35559301120.0,13.333333,3.57,0.09002,22609999872.0,0.476,Financial Services,Banks - Regional,USD
CDW,CDW Corporation,18192091136.0,17.3447,1.7,0.44157,6146299904.0,0.092,Technology,Information Technology Services,USD
FE,FirstEnergy Corp.,27608518656.0,25.524063,3.85,0.09491,28982999040.0,0.088,Utilities,Utilities - Regulated Electric,USD
HUBB,Hubbell Incorporated,27186300928.0,30.47897,1.13,0.24444,5556599808.0,0.153,Industrials,Electrical Equipment & Parts,USD
HAL,Halliburton Company,26640834560.0,16.696335,2.1,0.14917,8199000064.0,0.037,Energy,Oil & Gas Equipment & Services,USD
ROL,"Rollins, Inc.",17956345856.0,33.927273,1.93,0.37008998,1115303040.0,0.079,Consumer Cyclical,Personal Services,USD
PHM,"PulteGroup, Inc.",25381353472.0,13.311188,0.82,0.14901,2481007104.0,-0.096,Consumer Cyclical,Residential Construction,USD
CINF,Cincinnati Financial Corporation,27255400448.0,8.380604,2.12,0.21484,876000000.0,0.316,Financial Services,Insurance - Property & Casualty,USD
PTC,PTC Inc.,15181111296.0,13.57032,,0.35053003,1607693952.0,-0.068,Technology,Software - Application,USD
WRB,W. R. Berkley Corporation,26698682368.0,14.798353,0.55,0.20207001,3103180032.0,0.012,Financial Services,Insurance - Property & Casualty,USD
DRI,"Darden Restaurants, Inc.",23803236352.0,19.643194,3.01,0.53718,8046499840.0,0.137,Consumer Cyclical,Restaurants,USD
FOXA,Fox Corporation,24295450624.0,15.226316,0.96,0.152,7574000128.0,-0.086,Communication Services,Entertainment,USD
FOX,Fox Corporation,21813837824.0,13.671053,1.08,0.152,7574000128.0,-0.086,Communication Services,Entertainment,USD
IFF,International Flavors & Fragrances Inc.,22328842240.0,27.077398,2.02,0.060510002,6467999744.0,-0.036,Basic Materials,Specialty Chemicals,USD
SBAC,SBA Communications Corporation,18637393920.0,18.95577,2.66,,15209066496.0,0.023,Real Estate,REIT - Specialty,USD
WAT,Waters Corporation,38995005440.0,100.291664,,0.05212,5601999872.0,0.914,Healthcare,Diagnostics & Research,USD
ERIE,Erie Indemnity Company,12952200192.0,22.477312,2.39,0.24808,63157000.0,0.028,Financial Services,Insurance Brokers,USD
TDY,Teledyne Technologies Incorporated,31886491648.0,33.281433,,0.09154,2027000064.0,0.098,Technology,Scientific & Technical Instruments,USD
ATO,Atmos Energy Corporation,28719388672.0,21.215166,2.32,0.096,9629233152.0,0.006,Utilities,Utilities - Regulated Gas,USD
RF,Regions Financial Corporation,27239874560.0,12.97561,3.43,0.118669994,7628000256.0,0.034,Financial Services,Banks - Regional,USD
BIIB,Biogen Inc.,30478694400.0,36.63943,,0.04575,8355100160.0,0.034,Healthcare,Drug Manufacturers - General,USD
ZBH,"Zimmer Biomet Holdings, Inc.",18944813056.0,24.542606,0.99,0.060650002,7586999808.0,0.093,Healthcare,Medical Devices,USD
CNP,"CenterPoint Energy, Inc.",26780270592.0,24.199406,2.31,0.09825,24642000896.0,0.107,Utilities,Utilities - Regulated Electric,USD
MKC,"McCormick & Company, Incorporated",14062280704.0,8.602797,3.77,0.24728,4933499904.0,0.167,Consumer Defensive,Packaged Foods,USD
ES,Eversource Energy,27228194816.0,15.4371,4.4,,30339694592.0,0.023,Utilities,Utilities - Regulated Electric,USD
WDC,Western Digital Corporation,185335595008.0,32.13987,0.11,0.85920995,1724000000.0,0.455,Technology,Computer Hardware,USD
TSN,"Tyson Foods, Inc.",20597977088.0,36.141975,3.47,0.03263,8006000128.0,-0.001,Consumer Defensive,Farm Products,USD
TER,"Teradyne, Inc.",62018031616.0,54.639805,0.14,0.36465,100127000.0,1.039,Technology,Semiconductor Equipment & Materials,USD
STE,STERIS plc,22410393600.0,28.960957,1.13,0.11368,2087100032.0,0.073,Healthcare,Medical Devices,USD
PKG,Packaging Corporation of America,22923300864.0,33.456436,2.44,,4366900224.0,0.147,Consumer Cyclical,Packaging & Containers,USD
CLX,The Clorox Company,12681022464.0,16.56714,4.78,1.6376,5520000000.0,-0.02,Consumer Defensive,Household & Personal Products,USD
NTRS,Northern Trust Corporation,33789163520.0,15.85279,1.8,0.17066,16345100288.0,0.364,Financial Services,Asset Management,USD
ZBRA,Zebra Technologies Corporation,17753917440.0,34.225895,,0.15286,2924000000.0,0.204,Technology,Communication Equipment,USD
DVN,Devon Energy Corporation,49094602752.0,11.856545,2.3,0.15178001,8695000064.0,-0.008,Energy,Oil & Gas E&P,USD
CBOE,"Cboe Global Markets, Inc.",29913221120.0,22.3258,1.0,0.26297,1580300032.0,0.229,Financial Services,Financial Data & Stock Exchanges,USD
WY,Weyerhaeuser Company,18538051584.0,38.389553,3.33,0.04974,5448999936.0,-0.009,Real Estate,REIT - Specialty,USD
LUV,Southwest Airlines Co.,23932063744.0,29.119047,1.6,0.11099,6888999936.0,0.164,Industrials,Airlines,USD
ULTA,"Ulta Beauty, Inc.",23088484352.0,19.326197,,0.47449002,2302443008.0,0.111,Consumer Cyclical,Specialty Retail,USD
CMS,CMS Energy Corporation,22025969664.0,21.411413,3.17,0.09158,19300999168.0,-0.005,Utilities,Utilities - Regulated Electric,USD
INVH,Invitation Homes Inc.,18014322688.0,27.075893,3.94,0.070539996,8585699840.0,0.101,Real Estate,REIT - Residential,USD
FSLR,"First Solar, Inc.",24459587584.0,23.247702,,0.18509,194010000.0,-0.037,Technology,Solar,USD
BF-B,Brown-Forman Corporation,12927124480.0,18.413073,3.22,0.17846,2611000064.0,0.02,Consumer Defensive,Beverages - Wineries & Distilleries,USD
LDOS,"Leidos Holdings, Inc.",16001168384.0,11.877685,1.32,0.27781,6577999872.0,0.072,Technology,Information Technology Services,USD
CFG,"Citizens Financial Group, Inc.",30992293888.0,16.03159,2.57,0.08270001,16348999680.0,0.147,Financial Services,Banks - Regional,USD
LH,Labcorp Holdings Inc.,25413926912.0,26.134775,0.93,0.11728,6766099968.0,0.058,Healthcare,Diagnostics & Research,USD
VRSN,"VeriSign, Inc.",26528782336.0,30.890526,1.08,,2340300032.0,0.06,Technology,Software - Infrastructure,USD
IP,International Paper Company,22583900160.0,,4.46,-0.16479,9688000512.0,,Consumer Cyclical,Packaging & Containers,USD
ESS,"Essex Property Trust, Inc.",19774578688.0,44.618195,3.65,0.0771,6748253184.0,0.031,Real Estate,REIT - Residential,USD
PODD,Insulet Corporation,9257223168.0,31.226633,,0.22997999,1014000000.0,0.339,Healthcare,Medical Devices,USD
COO,"The Cooper Companies, Inc.",14525881344.0,61.55372,,0.02853,2726599936.0,0.079,Healthcare,Medical Instruments & Supplies,USD
SMCI,"Super Micro Computer, Inc.",19965734912.0,16.244738,,0.17877,9151156224.0,1.227,Technology,Computer Hardware,USD
STX,Seagate Technology Holdings plc,195676405760.0,64.25408,0.35,3.7152898,3564999936.0,0.485,Technology,Computer Hardware,USD
MAA,"Mid-America Apartment Communities, Inc.",15943232512.0,39.06725,4.62,0.0705,5715268096.0,0.01,Real Estate,REIT - Residential,USD
FDS,FactSet Research Systems Inc.,9802931200.0,17.71401,1.72,0.27032,1570642048.0,0.064,Financial Services,Financial Data & Stock Exchanges,USD
NRG,"NRG Energy, Inc.",25828962304.0,31.880209,1.41,0.062480003,23357999104.0,0.195,Utilities,Utilities - Independent Power Producers,USD
BBY,"Best Buy Co., Inc.",17817198592.0,15.65463,4.45,0.39104,4134000128.0,0.019,Consumer Cyclical,Specialty Retail,USD
SNA,Snap-on Incorporated,21674182656.0,21.410833,2.38,0.17932,1310000000.0,0.042,Industrials,Tools & Accessories,USD
L,Loews Corporation,23588913152.0,14.718112,0.22,0.09313,8935999488.0,0.039,Financial Services,Insurance - Property & Casualty,USD
PFG,"Principal Financial Group, Inc.",24442185728.0,16.078875,2.92,0.12949,4550900224.0,0.064,Financial Services,Asset Management,USD
STLD,"Steel Dynamics, Inc.",38209835008.0,24.169538,0.84,0.17568001,4393537024.0,0.334,Basic Materials,Steel,USD
TRMB,Trimble Inc.,13613713408.0,30.575918,,0.08252,1412800000.0,0.118,Technology,Scientific & Technical Instruments,USD
OMC,Omnicom Group Inc.,23159605248.0,219.62163,3.91,0.060510002,11411200000.0,0.634,Communication Services,Advertising Agencies,USD
CTRA,N/A,,,,,,,N/A,N/A,USD
HRL,Hormel Foods Corporation,13853405184.0,29.273254,4.68,0.05831,250000000.0,-0.029,Consumer Defensive,Packaged Foods,USD
ARE,"Alexandria Real Estate Equities, Inc.",8539367424.0,,5.89,-0.040760003,13167778816.0,-0.119,Real Estate,REIT - Office,USD
BLDR,"Builders FirstSource, Inc.",8142899712.0,82.26087,,0.02506,5238214144.0,-0.088,Industrials,Building Products & Equipment,USD
JBHT,"J.B. Hunt Transport Services, Inc.",25731416064.0,38.980083,0.66,0.18448,1403336960.0,0.194,Industrials,Integrated Freight & Logistics,USD
GEN,Gen Digital Inc.,16679350272.0,17.748407,1.82,0.39876997,8259999744.0,0.27,Technology,Software - Infrastructure,USD
DGX,Quest Diagnostics Incorporated,26015000576.0,25.154749,1.48,0.14602,6403999744.0,0.102,Healthcare,Diagnostics & Research,USD
KEY,KeyCorp,24769368064.0,13.511695,3.55,0.1033,14652000256.0,0.101,Financial Services,Banks - Regional,USD
NI,NiSource Inc.,20491233280.0,21.263683,2.69,0.091120005,16806800384.0,0.082,Utilities,Utilities - Regulated Gas,USD
MOH,"Molina Healthcare, Inc.",10182915072.0,1219.2188,,-0.0016,3952999936.0,-0.057,Healthcare,Healthcare Plans,USD
PNR,Pentair plc,11104723968.0,17.71005,1.55,0.17126,1764700032.0,-0.17,Industrials,Specialty Industrial Machinery,USD
J,Jacobs Solutions Inc.,16993019904.0,47.81063,1.01,0.07998,4054662912.0,0.345,Industrials,Engineering & Construction,USD
DG,Dollar General Corporation,28074061824.0,17.975988,1.86,0.1891,15798401024.0,0.034,Consumer Defensive,Discount Stores,USD
BALL,Ball Corporation,16961234944.0,18.465218,1.23,0.16785999,8177999872.0,0.163,Consumer Cyclical,Packaging & Containers,USD
NWS,News Corporation,17647001600.0,41.27848,0.64,0.06524,2928999936.0,0.088,Communication Services,Entertainment,USD
NWSA,News Corporation,15479684096.0,36.20886,0.73,0.06524,2928999936.0,0.088,Communication Services,Entertainment,USD
UDR,"UDR, Inc.",14235210752.0,24.316454,4.49,0.13739,5994848256.0,-0.001,Real Estate,REIT - Residential,USD
HOLX,N/A,,,,,,,N/A,N/A,USD
JBL,Jabil Inc.,35912630272.0,42.89362,0.09,0.65876,3943000064.0,0.118,Technology,Electronic Components,USD
GPC,Genuine Parts Company,18081687552.0,524.64,3.21,0.0070700003,6652785152.0,0.06,Consumer Cyclical,Auto Parts,USD
IEX,IDEX Corporation,17535752192.0,33.836414,1.27,0.12955,1885500032.0,0.064,Industrials,Specialty Industrial Machinery,USD
MAS,Masco Corporation,15258361856.0,17.044052,1.71,58.625,3492999936.0,-0.029,Industrials,Building Products & Equipment,USD
KIM,Kimco Realty Corporation,16598683648.0,28.773256,4.16,0.05806,8858821632.0,0.049,Real Estate,REIT - Retail,USD
ALGN,"Align Technology, Inc.",12507389952.0,30.372173,,0.10155,86618000.0,0.043,Healthcare,Medical Instruments & Supplies,USD
DLTR,"Dollar Tree, Inc.",24670412800.0,20.60594,,0.33976,7593299968.0,0.072,Consumer Defensive,Discount Stores,USD
EXPD,"Expeditors International of Washington, Inc.",23628726272.0,26.25872,0.89,0.4267,567284992.0,0.321,Industrials,Integrated Freight & Logistics,USD
EG,"Everest Group, Ltd.",14255828992.0,7.855482,2.14,0.12572,3588999936.0,-0.113,Financial Services,Insurance - Reinsurance,USD
MRNA,"Moderna, Inc.",22516905984.0,,,-0.38998002,1287000064.0,0.021,Healthcare,Biotechnology,USD
